min_x,min_y,min_z,25%_x,25%_y,25%_z,50%_x,50%_y,50%_z,75%_x,75%_y,75%_z,max_x,max_y,max_z,mean_x,mean_y,mean_z,machine,process_name,label
-2008.0,-50.0,-9.0,35.0,2004.0,-5.025476353769084,-1774.0,-39.0,39.0,91.0,2039.0,32.63177257275763,-1663.0,-1116.0,-1015.0,-917.0,-316.0,-1015.0949613847805,M01,OP00,good
-1940.0,-58.0,-9.0,46.0,2246.0,-4.080831047232825,-1887.0,-50.0,27.0,126.0,1932.0,34.439658128578245,-1795.0,-1098.0,-1036.0,-921.0,-220.0,-1014.8889029699427,M01,OP00,good
-2039.0,-64.0,-11.0,50.0,2024.0,-5.624304058908046,-1973.0,-44.0,31.0,103.0,2033.0,30.928157177921456,-2106.0,-1149.0,-989.0,-894.0,-302.0,-1013.8410298431513,M01,OP00,good
-2006.0,-56.0,-7.0,40.0,2221.0,-4.051224803196565,-1870.0,-35.0,37.0,87.0,1998.0,32.50433862118321,-1651.0,-1093.0,-1028.0,-931.0,-312.0,-1014.9802786557728,M01,OP00,good
-2012.0,-58.0,-9.0,46.0,2252.0,-3.874869543177481,-1868.0,-54.0,27.0,128.0,2051.0,34.39363296159351,-1786.0,-1097.0,-1036.0,-921.0,-152.0,-1014.5148646230916,M01,OP00,good
-1977.0,-64.0,-11.0,56.0,2172.0,-4.774485153256705,-1926.0,-46.0,33.0,111.0,2121.0,33.24403585967433,-2067.0,-1145.0,-991.0,-897.0,-281.0,-1013.7606636135057,M01,OP00,good
-2035.0,-58.0,-7.0,42.0,2129.0,-4.2706569060114505,-1883.0,-40.0,33.0,107.0,1989.0,33.734091722328245,-1655.0,-1091.0,-1036.0,-929.0,-257.0,-1014.7772542938932,M01,OP00,good
-2022.0,-52.0,-9.0,37.0,2324.0,-4.769266291182171,-1879.0,-39.0,37.0,95.0,2131.0,32.96749333817829,-1768.0,-1112.0,-1020.0,-917.0,-279.0,-1015.0247017320736,M01,OP00,good
-1938.0,-40.0,7.0,46.0,2160.0,1.9404524564743042,-1138.0,-35.0,39.0,89.0,993.0,29.955347061157227,-1868.0,-1118.0,-1050.0,-946.0,-306.0,-1037.3056640625,M01,OP00,good
-1940.0,-37.0,5.0,44.0,2264.0,2.230003833770752,-1110.0,-31.0,35.0,85.0,1054.0,30.156625747680664,-1813.0,-1112.0,-1050.0,-952.0,-374.0,-1036.945068359375,M01,OP00,good
